,Päivämäärä,Kaisaniemi/Eläintarhanlahti,weekday,day,year,hour,month,Clouds,AirPhPa,RHpercent,RainmmH,Snowcm,ToC,DewToC,Visibilitym,Winddirdeg,Gustms,Windms
45,ke 2 tammi 2019 21:00,6,ke,2,2019,21,1,1,1012.8,63,0.0,0,-6.1,-12.0,50000,348,12.04,7.07
46,ke 2 tammi 2019 22:00,3,ke,2,2019,22,1,0,1013.8,64,0.0,0,-6.4,-12.1,50000,347,10.05,6.08
47,ke 2 tammi 2019 23:00,1,ke,2,2019,23,1,0,1014.7,67,0.0,0,-6.4,-11.5,50000,349,12.03,7.04
48,to 3 tammi 2019 00:00,0,to,3,2019,0,1,0,1015.6,68,0.0,0,-6.5,-11.4,50000,351,10.05,6.03
49,to 3 tammi 2019 01:00,0,to,3,2019,1,1,0,1016.5,65,0.0,0,-6.5,-12.0,50000,350,11.03,6.04
50,to 3 tammi 2019 02:00,0,to,3,2019,2,1,0,1017.1,66,0.0,0,-6.7,-12.0,50000,353,12.02,6.03
51,to 3 tammi 2019 03:00,1,to,3,2019,3,1,0,1018.0,65,0.0,0,-7.0,-12.4,50000,353,11.05,6.04
52,to 3 tammi 2019 04:00,0,to,3,2019,4,1,0,1018.5,65,0.0,0,-7.0,-12.5,50000,352,11.06,6.07
53,to 3 tammi 2019 05:00,2,to,3,2019,5,1,0,1019.6,68,0.0,0,-7.3,-12.2,50000,359,12.0,5.06
54,to 3 tammi 2019 06:00,21,to,3,2019,6,1,0,1020.4,73,0.0,0,-7.8,-11.9,50000,347,9.07,6.0
55,to 3 tammi 2019 07:00,28,to,3,2019,7,1,0,1021.4,75,0.0,0,-8.1,-11.7,50000,353,9.01,5.03
56,to 3 tammi 2019 08:00,38,to,3,2019,8,1,0,1022.5,77,0.0,0,-8.5,-11.8,50000,353,10.0,5.07
57,to 3 tammi 2019 09:00,16,to,3,2019,9,1,0,1023.3,77,0.0,0,-8.7,-12.1,50000,360,7.09,4.01
58,to 3 tammi 2019 10:00,12,to,3,2019,10,1,0,1024.5,74,0.0,0,-8.6,-12.4,50000,353,8.03,4.07
59,to 3 tammi 2019 11:00,4,to,3,2019,11,1,0,1025.5,75,0.0,0,-8.8,-12.4,50000,353,7.02,4.06
60,to 3 tammi 2019 12:00,8,to,3,2019,12,1,0,1026.2,75,0.0,0,-8.8,-12.4,50000,356,8.04,4.08
61,to 3 tammi 2019 13:00,13,to,3,2019,13,1,0,1026.4,75,0.0,0,-8.4,-12.1,50000,360,7.09,4.06
62,to 3 tammi 2019 14:00,22,to,3,2019,14,1,0,1026.5,74,0.0,0,-8.0,-11.9,50000,357,7.06,5.05
63,to 3 tammi 2019 15:00,24,to,3,2019,15,1,0,1026.5,71,0.0,0,-7.7,-12.0,50000,1,6.08,4.01
64,to 3 tammi 2019 16:00,47,to,3,2019,16,1,0,1026.9,74,0.0,0,-8.4,-12.3,50000,353,7.03,4.06
65,to 3 tammi 2019 17:00,35,to,3,2019,17,1,0,1027.6,77,0.0,0,-9.2,-12.5,50000,351,7.04,4.03
66,to 3 tammi 2019 18:00,24,to,3,2019,18,1,0,1026.9,79,0.0,0,-9.7,-12.6,50000,360,6.01,4.02
67,to 3 tammi 2019 19:00,4,to,3,2019,19,1,0,1027.2,82,0.0,0,-10.4,-12.9,50000,335,5.01,3.05
68,to 3 tammi 2019 20:00,15,to,3,2019,20,1,0,1027.4,83,0.0,0,-10.7,-13.0,50000,340,5.06,3.05
69,to 3 tammi 2019 21:00,3,to,3,2019,21,1,0,1026.5,86,0.0,0,-11.1,-13.0,50000,332,3.07,2.03
70,to 3 tammi 2019 22:00,1,to,3,2019,22,1,0,1025.8,87,0.0,0,-11.4,-13.1,42190,317,2.02,1.06
71,to 3 tammi 2019 23:00,0,to,3,2019,23,1,7,1024.7,86,0.0,0,-11.7,-13.5,50000,324,2.01,1.05
72,pe 4 tammi 2019 00:00,1,pe,4,2019,0,1,3,1023.9,89,0.0,0,-11.6,-13.1,48350,0,0.0,0.0
73,pe 4 tammi 2019 01:00,0,pe,4,2019,1,1,7,1022.5,87,0.0,0,-10.0,-11.8,41500,276,1.07,0.09
74,pe 4 tammi 2019 02:00,0,pe,4,2019,2,1,8,1021.2,86,0.0,0,-7.8,-9.8,48940,202,2.04,1.06
75,pe 4 tammi 2019 03:00,2,pe,4,2019,3,1,8,1020.2,87,0.0,0,-6.9,-8.6,34930,303,1.07,1.01
76,pe 4 tammi 2019 04:00,0,pe,4,2019,4,1,8,1019.0,84,0.0,0,-4.8,-7.0,16550,248,2.09,1.08
77,pe 4 tammi 2019 05:00,3,pe,4,2019,5,1,8,1017.4,81,0.0,0,-2.3,-5.1,13360,222,7.02,3.08
78,pe 4 tammi 2019 06:00,13,pe,4,2019,6,1,8,1015.7,90,0.05,0,-1.5,-2.9,2010,211,9.09,6.0
79,pe 4 tammi 2019 07:00,33,pe,4,2019,7,1,7,1014.2,92,0.05,0,-1.4,-2.5,840,214,11.07,6.03
80,pe 4 tammi 2019 08:00,35,pe,4,2019,8,1,8,1012.6,95,0.08,0,-1.6,-2.3,460,207,10.05,7.0
